KROSTALY|FUT|tr|i|1323|0.94|173|0.90|72|115.7|0.61|0.31|0.06|0.06|30
Leviathan|FS|th|c|779|0.94|178|0.94|70|119.3|0.64|0.31|0.05|0.08|38
bao|EG|vn|s|705|0.94|185|0.90|70|126.2|0.64|0.27|0.08|0.09|30
mta|OXEN|cl|d|164|0.94|185|0.91|70|114.7|0.66|0.20|0.11|0.10|29
Spear|EF|tr|d|190|0.94|199|0.91|64|130.2|0.68|0.28|0.14|0.15|33
starxo|M8|pl|i|1251|0.93|179|0.89|69|118.8|0.62|0.29|0.07|0.08|25
Klaus|VL|kr|d|616|0.93|179|0.93|68|117.6|0.65|0.24|0.10|0.11|33
Filu|NAVI|pl|d|542|0.93|192|0.95|68|130.4|0.67|0.18|0.12|0.13|29
Flex1n|DRG|cn|c|1036|0.93|176|0.87|72|112.8|0.61|0.44|0.06|0.07|26
Haodong|TEC|cn|c|1605|0.93|180|0.97|70|114.2|0.65|0.29|0.06|0.08|30
BerserX||id|s|402|0.93|179|0.88|73|122.3|0.61|0.25|0.06|0.07|21
grubinho||pl|c|540|0.93|172|0.89|71|112.7|0.61|0.36|0.06|0.07|28
GLYPH|ENVY|ph|c|1173|0.93|169|0.88|73|108.2|0.59|0.37|0.05|0.05|23
nekky|EF|tr|i|949|0.93|185|0.93|69|125.2|0.65|0.26|0.05|0.07|28
aluba|WOL|cn|i|519|0.93|170|0.84|72|113.0|0.60|0.29|0.04|0.05|28
jowa|WSIG|cn|c|664|0.93|187|0.87|72|116.6|0.63|0.38|0.08|0.10|30
yatsuka|DFM|jp|d|951|0.93|179|0.89|69|116.9|0.63|0.26|0.10|0.11|31
Proxh|M8|tr|c|344|0.93|176|0.88|72|116.5|0.62|0.37|0.05|0.07|30
Verse|DRG|cn|c|597|0.93|177|0.88|74|115.5|0.61|0.44|0.05|0.07|35
nobody|EDG|cn|i|1763|0.92|182|0.93|69|116.6|0.63|0.29|0.06|0.08|29
JonahP|SEN|ca|i|577|0.92|179|0.88|70|124.2|0.60|0.27|0.05|0.08|23
Kicks|TL|ee|c|303|0.92|165|0.85|73|109.0|0.57|0.38|0.07|0.06|29
SyouTa|ZETA|jp|c|742|0.92|188|0.93|69|126.0|0.68|0.18|0.09|0.09|36
